order_book_id,date,volume,prev_close,close,open,low,high,total_turnover
000002.XSHG,2014-11-21,21177964400.0,2568.141,2603.9410000000007,2568.118,2561.802,2605.442,197584348335.0
000002.XSHG,2014-11-24,36278125000.0,2603.9410000000007,2652.23,2623.581,2613.071,2666.813,329909357306.0
000002.XSHG,2014-11-25,31297373700.0,2652.23,2688.44,2651.3,2646.129000000001,2689.271,281373121728.0
000002.XSHG,2014-11-26,33625688400.0,2688.44,2727.078,2693.77,2691.457000000001,2727.8390000000004,316043644246.0
000002.XSHG,2014-11-27,36341112800.0,2727.078,2754.539,2738.673,2721.59,2755.5,338594980595.0
000002.XSHG,2014-11-28,46512211100.0,2754.539,2809.632,2753.653,2745.707000000001,2809.992,401527945978.0
000002.XSHG,2014-12-01,44605787400.0,2809.632,2806.937,2818.987,2795.055,2849.527,400695396168.0
000002.XSHG,2014-12-02,43710111800.0,2806.937,2894.499000000001,2793.998,2791.771,2909.045,396897294000.0
000002.XSHG,2014-12-03,56120348700.0,2894.499000000001,2911.237,2899.887,2863.296,2958.145,529323624336.0
000002.XSHG,2014-12-04,53158415600.0,2911.237,3037.19,2915.386,2903.78,3038.2990000000004,508678341272.0
000002.XSHG,2014-12-05,63928966100.0,3037.19,3077.514,3065.69,2946.611,3119.863,638579311792.0
000002.XSHG,2014-12-08,58644768500.0,3077.514,3164.306,3046.136,3016.756,3186.807,592937948297.0
000002.XSHG,2014-12-09,77039425100.0,3164.306,2992.121,3135.13,2969.341,3239.015,792567709240.0
000002.XSHG,2014-12-10,51185415700.0,2992.121,3079.852000000001,2991.783,2940.91,3086.91,534436371314.0
000002.XSHG,2014-12-11,48152389100.0,3079.852000000001,3064.689000000001,3050.753,3029.949,3106.708,479168830177.0
000002.XSHG,2014-12-12,40858066800.0,3064.689000000001,3077.748,3068.479000000001,3053.367,3103.343,419916468200.0
000002.XSHG,2014-12-15,39932977800.0,3077.748,3093.68,3060.185,3028.066,3100.833,410935905781.0
000002.XSHG,2014-12-16,45310199800.0,3093.68,3165.265,3094.113,3083.682,3165.662000000001,492306954806.0
000002.XSHG,2014-12-17,54159307000.0,3165.265,3206.9,3176.245,3135.768,3223.23,579853359855.0
000002.XSHG,2014-12-18,43506901100.0,3206.9,3203.106,3208.7790000000005,3174.508,3237.011,466089383782.0
000002.XSHG,2014-12-19,52003678000.0,3203.106,3256.7540000000013,3198.437,3162.064000000001,3266.186,514996237333.0
000002.XSHG,2014-12-22,67826835800.0,3256.7540000000013,3276.891,3278.487,3238.036,3342.367,623918764221.0
000002.XSHG,2014-12-23,43712601800.0,3276.891,3177.368,3232.36,3170.066,3286.736,419122219751.0
000002.XSHG,2014-12-24,37629882000.0,3177.368,3114.071,3184.292,3074.5690000000004,3196.145,378471022913.0
000002.XSHG,2014-12-25,37642285800.0,3114.071,3219.059,3135.009,3111.248,3219.907,378755206856.0
000002.XSHG,2014-12-26,45997395400.0,3219.059,3308.393,3224.795,3210.229000000001,3315.271,488470319264.0
000002.XSHG,2014-12-29,50927375100.0,3308.393,3319.475,3366.178,3276.321,3378.058,555382004901.0
000002.XSHG,2014-12-30,39727775400.0,3319.475,3317.141,3311.906,3279.9190000000012,3342.88,437011515120.0
000002.XSHG,2014-12-31,40553497000.0,3317.141,3389.395,3324.271,3308.073,3394.315,432035625469.0
